Wirtschaftszweig;Anlagegüter;Nutzungsdauer (ND) i.J.;Linearer AfA-Satz v.H.
Abfallentsorgungs- und Recyclingwirtschaft;Sammelfahrzeuge (f. feste u. flüssige Abfälle) ;4;25
Abfallentsorgungs- und Recyclingwirtschaft;Wechselaufbauten (f. Sammelfahrzeuge);4;25
Abfallentsorgungs- und Recyclingwirtschaft;Saugwagen;4;25
Abfallentsorgungs- und Recyclingwirtschaft;Spülwagen;4;25
Abfallentsorgungs- und Recyclingwirtschaft;Sammelbehälter (oh. Rücksicht auf Rauminhalt und Material, z.B. Preßcontainer, Wechselbehälter);4;25
Abfallentsorgungs- und Recyclingwirtschaft;Abfallverdichter (auf Deponien);4;25
Abfallentsorgungs- und Recyclingwirtschaft;Laderaupen und Radlader;4;25
Abfallentsorgungs- und Recyclingwirtschaft;Zerkleinerer;6;17
Abfallentsorgungs- und Recyclingwirtschaft;Granulieranlagen ;6;17
Abfallentsorgungs- und Recyclingwirtschaft;Mühlen;6;17
Abfallentsorgungs- und Recyclingwirtschaft;Shredder;6;17
Abfallentsorgungs- und Recyclingwirtschaft;Chemische Emulsionsspaltanlagen;5;20
Abfallentsorgungs- und Recyclingwirtschaft;Thermische Emulsionsspaltanlagen;8;12
Abfallentsorgungs- und Recyclingwirtschaft;Siebbandpressen;5;20
Abfallentsorgungs- und Recyclingwirtschaft;Sortieranlagen;6;17
Abfallentsorgungs- und Recyclingwirtschaft;Abfallpressen, Ballenpressen;6;17
Abfallentsorgungs- und Recyclingwirtschaft;Magnetabscheider;6;17
Abfallentsorgungs- und Recyclingwirtschaft;Drehtrommelsiebe;6;17
Abfallentsorgungs- und Recyclingwirtschaft;Laufkrane und Müllkrane in Betriebsgebäuden;12;8
Abfallentsorgungs- und Recyclingwirtschaft;Rauchgasreinigungseinrichtung;12;8
Abfallentsorgungs- und Recyclingwirtschaft;Kamin (gemauert);33;3
Abfallentsorgungs- und Recyclingwirtschaft;Tanklager für Sonderabfälle ;10;10
Abfallentsorgungs- und Recyclingwirtschaft;Laufkrane und Müllkrane für Betriebsgebäude;10;10
Abfallentsorgungs- und Recyclingwirtschaft;Rauchgasreinigungseinrichtungen;10;10
Abfallentsorgungs- und Recyclingwirtschaft;Kamin (Stahl);10;10
Aluminiumfolienindustrie;Stranggießanlagen;10;10
Aluminiumfolienindustrie;Schmelz-, Gieß- und Anwärmöfen;8;12
Aluminiumfolienindustrie;Vor- und Feinwalzwerke (einschl. Reversier- und Waschwalzwerke);8;12
Aluminiumfolienindustrie;Einzelgetriebe;6;17
Aluminiumfolienindustrie;Antriebsmotoren;8;12
Aluminiumfolienindustrie;Generatoren;8;12
Aluminiumfolienindustrie;sonst. elektr. Ausrüstungen;8;12
